text,intent
"what is the deal with that is exactly what i was looking for, much obliged",thanks
"i'm totally lost, can you explain if the faculty of arts offers any short term certificate courses",courses
quick question: am i registered,registration
i'm a bit stuck trying to understand how i can fix my schedule if the reg portal is showing an error,registration
"greetings, university closure for public closure",holidays
how to to contact clinic,contacts
i really need to understand how i can generate a digital payment receipt after paying via cbe birr or telebirr,fees
entrance exam for admission,admission
yo,greeting
could you shed some light on where i can find the timetable for my upcoming continuous assessments and quizzes,exam
thanks aa lot assistant,thanks
i need subjects do you have,courses
"hey there, i am trying to find out if the university website has a live chat feature for immediate customer service",contacts
please guide me on if it is possible to pay the heavy school fees in smaller monthly installments,fees
going offline assistant,bye
no more questions for now bye pls,bye
just a quick question: if i can take a minor in business administration alongside my engineering degree,courses
i was wondering if you could help me figure out if the university provides married student housing or couples dormitories,hostel
i would like to inquire: university closure for easter day off,holidays
i need details on if there is a specific fee waiver available for students with recognized disabilities as soon as possible,scholarship
what is the way to to do clearance,registration
im confused about if the continuous assessment scores are added to the final exam result automatically,results
i am looking for info on where i need to take my bank sip to get financial clearance from the admin,fees
i need is the room fee,hostel
would you mind telling me what the syllabus looks like for the introduction to economics class because i am confused,courses
im a freshman and i really need to know what the exact formula is to correctly calculate my cumulative gpa,results
schedule for does registration strat,admission
"could you shed some light on where the university posts its official announcements, like a telegram channel or facebook page",contacts
my prof told me to check whether we get consistent wifi and electricity inside the campus accommodation blocks,hostel
could you give me info on my transfer status,admission
i really need to understand if tomorrow is considered a public rest day meaning we don't have to attend lectures,holidays
i have no idea if the university provides married student housing or couples dormitories,hostel
could you please tell me is tomorrow a vacation,holidays
"could you please clarify okay i am done asking questions, shutting down the chat",bye
hwen is is my next lecture,schedule
"i am looking for information on i totally understand now, appreciate the detailed response",thanks
is it true that if the dormitories force students to leave during the long winterr break,holidays
great help mate,thanks
"would you mind telling me that is exactly what i was looking for, much obliged because i am confused",thanks
can someone tell me what kind of undergraduate degree programs are currently open for new students,courses
i am trying to figure out what happens if i forget to register before the system closes today,registration
"greetings, finals calendar",exam
"i am trying to figure out hello, i am a new student and i need some assistance today",greeting
i was wondering if you could help me figure out if self sponsored students have a different enrollment process,registration
quick question: i ned the exam lecture hours,exam
i want to know the address,contacts
"im a freshman and i really need to know thank you so muuch, you saved me a trip to the admin office",thanks
my prof told me to check who i should contact if i have a serious complaint about a specific faculty member,contacts
hello dude,greeting
im afreshman and i really need to know what the passing mark is for the national exit exam in engineering,exam
let me know my academic record,results
i need details on is there a human or a bot here to help me as soon as possible,greeting
i am looking for information on the easiest way to navigate to the student clinic if i am coming from the dorms,location
what is the deal with if there is any chance to take a make up exam if i get sick during finals week,exam
hey dor assignment,hostel
quick question: plz inform me where to register,registration
changge student residence room,hostel
i need details on who i should contact if i have a serious complaint about a specific faculty member as soon as possible,contacts
quick question: dorm assignment,hostel
sup how too navigate to freshman building,location
please i need to know where to register,registration
plz show the exit exam timetable,exam
sup where is the portal for cgpa,results
i would like to inquire: please list all modules,courses
so my question is regarding if the dormitories force students to leave during the long winter break,holidays
i am trying to figure out whether the supplementary exams happen before or after the semester break today,exam
talk to you later,bye
where to locate is the accommodation,hostel
"i am looking for information on hi there, are you available to chat for a minute",greeting
"hey bot, i need some quick advice about if i can take a minor i nbusiness administration alongside my engineering degree",courses
where to find the phone number,contacts
if there is a 24/7 help desk number i can call for urgent IT support issues,contacts
could you please tell me what time is the assessment,exam
"hey bot, i need some quick advice about why my final mark for data structures is showing up as missing on the system",results
please guide me on how the evening shift class timiings differ from the regular daytime routine,schedule
can i see are the fund requirements,scholarship
date for is hte tuition deadline,fees
yo list all electives,courses
show me are the core electives,courses
what is the way to to letter for entrance exam,admission
i would like to inquire: is the make up exam hard,exam
awesomme man,thanks
how i can find the official email address for the head of the computer science department,contacts
can you explain whether there are any special campus events planned for the alumni homecoming weekend for me please,holidays
could you please clarify what the routine looks like for the annual university sports week and cultural day,holidays
i have no idea where the digital library is situated compared to the regular book store,location
quick question: when is is the scholarship deadline,scholarship
quick question: i need to know about campus housing,hostel
plz print my result,results
"that perfectly answered my question, cheers",thanks
"i'm totally lost, can you explain what the exact formula is to correctly calculate my cumulative gpa",results
kindly do you offer grant,scholarship
"i am trying to figure out hey guys, hoping someone can answer my questions today today",greeting
hey guide me to to change room,hostel
sup what is is the telegram channel for department head,contacts
pls show me where to register,registration
my prof told me to check why my final mark for data structures is showing up as missing on the system,results
goodbye assistant,bye
could you plase tell me inform me the departments for physics,courses
"i have no idea hello, i am a new student and i need some assistance",greeting
plz give me the address,contacts
what are is the next vacation,holidays
yo clarify the courses for accounting,courses
clarify my transcript,results
hi bot} mate,greeting
how much is the cost sharing,fees
"i want to study nursing, can i see are the subjects",courses
got it thanks assistant,thanks
where to locate the main gate,location
can i see is the next day off,holidays
so my question is regarding when the academic records office will finally release the graduation results,results
could you please tell me give me is the next vacation,holidays
i need details on iif self sponsored students have a different enrollment process as soon as possible,registration
i need some urgent help with how to find the faculty of business administration dean's office,location
hi there mate,greeting
clarify about bursary,scholarship
what the strict eligibility criteria are for the need based scholarship program,scholarship
much appreciated mae,thanks
much appreciated man,thanks
ca you explain where the digital library is situated compared to the regular book store for me please,location
"greetings, list is the exam deadline",exam
"hey there, i am trying to find out what kind of undergraduate degree programs are currently open for new students",courses
i am looking for information on how i can find the official email address for the head of the comp sci dept,contacts
afternoon,greeting
could you please clarify what the strict rules are regarding bringing calculators into the exam hall,exam
"hey there, i am trying to find out is there a human or a bot here to help me",greeting
i would like to inquiree: payment the dorm fee,fees
"im confused about i have no more questions right now, so peace out",bye
i have no idea what i need to do if i urgently want to change my current hoostel room,hostel
just a quick question: what a letter of acceptance looks like and when i should expect to receive it,admission
missing student copy complaint,results
do you offer medicine departments,courses
which building is the dormitory in,location
i need details on if there are any makeup classes planned for the lectures we missed last monday as soon as possible,schedule
im confused about where i can find a legitimate sponsor to help cover my cost sharing expenses,scholarship
"awesome, thanks for the clarification on that",thanks
i am trying to figure out whethr we get consistent wifi and electricity inside the campus accommodation blocks today,hostel
afternoon bot,greeting
i have no idea the easiest way to navigate to the student clinic if i am coming from the dorms,location
i'm a bit stuck trying to understand when my software engineering lecture is supposed to happen tomorrow,schedule
"hey there, i am trying to find out where i can find the academic calendar that outlines all the semester rest days",holidays
guide me to to lteter for registration,admission
nice one mate,thanks
could you please tell me requirements for admission,admission
could you please tell me leaving the room,hostel
quick question: is the toilet nearby,location
hey receipt for the registration fee,fees
location of is my academic calenddar,schedule
"what is the deal with that perfectly answered my question, cheers",thanks
i would like to inquire: what are is the add drop deadline,registration
"greetings, where can i find is the campus housing",hostel
date for is the cost sharing deadline,fees
would you mind telling me where i can securely check my semester grades online through the student portal because i am confused,results
how course registration works for freshmen coming in this year,registration
can someone tell me how i can apply for postgraduate admission if i already have my bachelor's degree,admission
give me disciplines are available in the architecture college,courses
i'm a bit stuck trying to understand where i need to take my bank slip to get financial clearance from the admin,fees
"hey there, i am trying to find out what the strict rules are regarding bringing calculators into the exam hall",exam
show me is the student residence fee,hostel
shutting down the chat bye now,bye
i need details on when the actual test dates for the midterrms will be officially announced as soon as possible,exam
"greetings, is tomorrow a ceremony",holidays
do you happen to know the process for filing a formal grade appeal if i think my prof made a mistake,results
"would you mind telling me hello, i am a new student and i need some assistance because i amc onfused",greeting
aam i registered,registration
"i am looking for info on hey bot, hope you're having a good day",greeting
so my question is regarding what i need to do if i urgently wantt to change my current hostel room,hostel
i need to know the help desk,contacts
could you shed some light on what i should do because i completely missed the late reg deadline,registration
clarify the ceremony calendar,holidays
can i see time does the class end,schedule
"greetings, missing result complaint",results
would you mind telling me when the absolute final deadline is for paying this semester's tuition without a penalty because i am confused,fees
